posteam,qtr,down,play_type,pass_length_numerical_mean,pass_length_numerical_count,pass_length_numerical_std,pass_location_numerical_mean,pass_location_numerical_count,pass_location_numerical_std,run_location_numerical_mean,run_location_numerical_count,run_location_numerical_std
DAL,1,4,pass,0.666666667,3,0.577350269,0.833333333,3,0.288675135,1,3,0
DAL,1,4,run,0,14,0,1,14,0,0.571428571,14,0.385164443
DAL,2,1,pass,0.788401254,638,0.408762288,0.550940439,638,0.4404836,1,638,0
DAL,2,1,run,0,532,0,1,532,0,0.521616541,532,0.43935711
DAL,2,2,pass,0.807622505,551,0.39452615,0.529945554,551,0.439536736,1,551,0
DAL,2,2,run,0,325,0,1,325,0,0.483076923,325,0.423670481
DAL,2,3,pass,0.740139211,431,0.439067701,0.530162413,431,0.430272733,1,431,0
DAL,2,3,run,0,98,0,1,98,0,0.469387755,98,0.392036229
DAL,2,4,pass,0.333333333,3,0.577350269,0.5,3,0.5,1,3,0
DAL,2,4,run,0,13,0,1,13,0,0.576923077,13,0.400320385
DAL,3,1,pass,0.746543779,434,0.435491853,0.551843318,434,0.435395616,1,434,0
DAL,3,1,run,0,560,0,1,560,0,0.486607143,560,0.442891688
DAL,3,2,pass,0.784503632,413,0.411664934,0.549636804,413,0.435757474,1,413,0
DAL,3,2,run,0,327,0,1,327,0,0.504587156,327,0.429877709
DAL,3,3,pass,0.744927536,345,0.436535059,0.547826087,345,0.437888929,1,345,0
DAL,3,3,run,0,72,0,1,72,0,0.534722222,72,0.41389926
DAL,3,4,pass,1,4,0,0.75,4,0.288675135,1,4,0
DAL,3,4,run,0,11,0,1,11,0,0.636363636,11,0.323334895
DAL,4,1,pass,0.811165846,609,0.391698545,0.552545156,609,0.434564503,1,609,0
DAL,4,1,run,0,558,0,1,558,0,0.490143369,558,0.436642545
DAL,4,2,pass,0.789855072,552,0.40778092,0.54076087,552,0.43200642,1,552,0
